district,Season,crop,source,source_rank
Jaipur,Rabi,Barley,institutional_research_mapping,6
Jaisalmer,Kharif,Guar,institutional_research_mapping,1
Jaisalmer,Kharif,Moth Bean,institutional_research_mapping,2
Jaisalmer,Kharif,Groundnut,institutional_research_mapping,3
Jaisalmer,Kharif,Castor,institutional_research_mapping,4
Jaisalmer,Rabi,Cumin,institutional_research_mapping,1
Jaisalmer,Rabi,Isabgol,institutional_research_mapping,2
Jaisalmer,Rabi,Mustard,institutional_research_mapping,3
Jalore,Kharif,Castor,institutional_research_mapping,1
Jalore,Kharif,Chilli,institutional_research_mapping,2
Jalore,Kharif,Sesame,institutional_research_mapping,3
Jalore,Rabi,Isabgol,institutional_research_mapping,1
Jalore,Rabi,Mustard,institutional_research_mapping,2
Jalore,Rabi,Fennel,institutional_research_mapping,3
Jalore,Rabi,Tomato,institutional_research_mapping,4
Jhalawar,Kharif,Soybean,institutional_research_mapping,1
Jhalawar,Rabi,Garlic,institutional_research_mapping,1
Jhalawar,Rabi,Coriander,institutional_research_mapping,2
Jhalawar,Rabi,Mustard,institutional_research_mapping,3
Jhalawar,Rabi,Ashwagandha,institutional_research_mapping,4
Jhunjhunu,Kharif,Guar,institutional_research_mapping,1
Jhunjhunu,Kharif,Mungbean,institutional_research_mapping,2
Jhunjhunu,Kharif,Groundnut,institutional_research_mapping,3
Jhunjhunu,Rabi,Mustard,institutional_research_mapping,1
Jhunjhunu,Rabi,Isabgol,institutional_research_mapping,2
Jhunjhunu,Rabi,Fenugreek,institutional_research_mapping,3
Jhunjhunu,Rabi,Chickpea,institutional_research_mapping,4
Jodhpur,Kharif,Onion,institutional_research_mapping,1
Jodhpur,Kharif,Castor,institutional_research_mapping,2
Jodhpur,Rabi,Cumin,institutional_research_mapping,1
Jodhpur,Rabi,Isabgol,institutional_research_mapping,2
Jodhpur,Rabi,Onion,institutional_research_mapping,3
Jodhpur,Rabi,Garlic,institutional_research_mapping,4
Jodhpur,Rabi,Chilli,institutional_research_mapping,5
Jodhpur,Rabi,Mustard,institutional_research_mapping,6
Karauli,Kharif,Sesame,institutional_research_mapping,1
Karauli,Kharif,Chilli,institutional_research_mapping,2
Karauli,Kharif,Guar,institutional_research_mapping,3
Karauli,Rabi,Mustard,institutional_research_mapping,1
Karauli,Rabi,Tomato,institutional_research_mapping,2
Karauli,Rabi,Chickpea,institutional_research_mapping,3
Karauli,Rabi,Brinjal,institutional_research_mapping,4
Kota,Kharif,Soybean,institutional_research_mapping,1
Kota,Rabi,Coriander,institutional_research_mapping,1
Kota,Rabi,Garlic,institutional_research_mapping,2
Kota,Rabi,Mustard,institutional_research_mapping,3
Kota,Rabi,Fenugreek,institutional_research_mapping,4
Kota,Rabi,Kalonji,institutional_research_mapping,5
Nagaur,Kharif,Groundnut,institutional_research_mapping,1
Nagaur,Kharif,Mungbean,institutional_research_mapping,2
Nagaur,Kharif,Moth Bean,institutional_research_mapping,3
Nagaur,Kharif,Onion,institutional_research_mapping,4
Nagaur,Rabi,Cumin,institutional_research_mapping,1
Nagaur,Rabi,Isabgol,institutional_research_mapping,2
Nagaur,Rabi,Mustard,institutional_research_mapping,3
Nagaur,Rabi,Onion,institutional_research_mapping,4
Nagaur,Rabi,Fenugreek,institutional_research_mapping,5
Pali,Kharif,Mehandi,institutional_research_mapping,1
Pali,Kharif,Sesame,institutional_research_mapping,2
Pali,Kharif,Castor,institutional_research_mapping,3
Pali,Rabi,Cumin,institutional_research_mapping,1
Pali,Rabi,Fennel,institutional_research_mapping,2
Pali,Rabi,Mustard,institutional_research_mapping,3
Rajsamand,Kharif,Custard Apple,institutional_research_mapping,1
Rajsamand,Kharif,Groundnut,institutional_research_mapping,2
Rajsamand,Kharif,Sesame,institutional_research_mapping,3
Rajsamand,Rabi,Pomegranate,institutional_research_mapping,1
Rajsamand,Rabi,Garlic,institutional_research_mapping,2
Rajsamand,Rabi,Tomato,institutional_research_mapping,3
Rajsamand,Rabi,Onion,institutional_research_mapping,4
Sawai Madhopur,Kharif,Guava,institutional_research_mapping,1
Sawai Madhopur,Kharif,Sesame,institutional_research_mapping,2
Sawai Madhopur,Kharif,Soybean,institutional_research_mapping,3
Sawai Madhopur,Kharif,Groundnut,institutional_research_mapping,4
Sawai Madhopur,Rabi,Mustard,institutional_research_mapping,1
Sawai Madhopur,Rabi,Garlic,institutional_research_mapping,2
Sawai Madhopur,Rabi,Fenugreek,institutional_research_mapping,3
Sawai Madhopur,Rabi,Chilli,institutional_research_mapping,4
Sawai Madhopur,Rabi,Tomato,institutional_research_mapping,5
Sikar,Kharif,Groundnut,institutional_research_mapping,1
Sikar,Kharif,Mungbean,institutional_research_mapping,2
Sikar,Kharif,Onion,institutional_research_mapping,3
Sikar,Kharif,Guar,institutional_research_mapping,4
Sikar,Kharif,Cowpea,institutional_research_mapping,5
Sikar,Rabi,Mustard,institutional_research_mapping,1
Sikar,Rabi,Fenugreek,institutional_research_mapping,2
Sikar,Rabi,Onion,institutional_research_mapping,3
Sikar,Rabi,Garlic,institutional_research_mapping,4
Sikar,Rabi,Taramira,institutional_research_mapping,5
Sirohi,Kharif,Castor,institutional_research_mapping,1
Sirohi,Kharif,Groundnut,institutional_research_mapping,2
Sirohi,Kharif,Tomato,institutional_research_mapping,3
Sirohi,Rabi,Castor,institutional_research_mapping,1
Sirohi,Rabi,Fennel,institutional_research_mapping,2
Sirohi,Rabi,Cumin,institutional_research_mapping,3
Sirohi,Rabi,Isabgol,institutional_research_mapping,4
Sirohi,Rabi,Tomato,institutional_research_mapping,5
Sirohi,Rabi,Mustard,institutional_research_mapping,6
Sri Ganganagar,Kharif,Cotton,institutional_research_mapping,1
Sri Ganganagar,Kharif,Guar,institutional_research_mapping,2
Sri Ganganagar,Kharif,Onion,institutional_research_mapping,3
Sri Ganganagar,Kharif,Mungbean,institutional_research_mapping,4
Sri Ganganagar,Rabi,Mustard,institutional_research_mapping,1
Sri Ganganagar,Rabi,Chickpea,institutional_research_mapping,2
Sri Ganganagar,Rabi,Onion,institutional_research_mapping,3
Sri Ganganagar,Rabi,Coriander,institutional_research_mapping,4
Sri Ganganagar,Rabi,Fenugreek,institutional_research_mapping,5
Sri Ganganagar,Rabi,Taramira,institutional_research_mapping,6
Tonk,Kharif,Groundnut,institutional_research_mapping,1
Tonk,Kharif,Chilli,institutional_research_mapping,2
Tonk,Kharif,Mungbean,institutional_research_mapping,3
Tonk,Rabi,Mustard,institutional_research_mapping,1
Tonk,Rabi,Fennel,institutional_research_mapping,2
Tonk,Rabi,Onion,institutional_research_mapping,3
Udaipur,Kharif,Ginger,institutional_research_mapping,1
Udaipur,Kharif,Custard Apple,institutional_research_mapping,2
Udaipur,Kharif,Safed Musli,institutional_research_mapping,3
Udaipur,Kharif,Ashwagandha,institutional_research_mapping,4
Udaipur,Rabi,Ajwain,institutional_research_mapping,1
Udaipur,Rabi,Isabgol,institutional_research_mapping,2
Udaipur,Rabi,Kalonji,institutional_research_mapping,3
Udaipur,Rabi,Garlic,institutional_research_mapping,4
