district,Year,Month,Season,rainfall,temperature,humidity,ph,organic_carbon,sand,clay,silt,soil_texture
Jalor,2021.0,1.0,Rabi,0.0,17.39022980533463,48.98892037449139,7.5693450681661485,0.7197348534596913,47.63071085699597,22.360459238758345,30.008805657174882,Loam
Jhalawar,2021.0,1.0,Rabi,7.353729200365193,18.232965802084056,57.09200254271775,7.324442733469555,0.7898446674541064,36.359408258216845,31.070649046282863,32.57011021594803,Clay Loam
Jhunjhunun,2021.0,1.0,Rabi,7.228866346414727,13.387057062374232,67.42107202052762,7.564148238132579,0.8594941762681367,46.73249222258496,25.900183444383487,27.367264578193463,Loam
Jodhpur,2021.0,1.0,Rabi,0.0,15.55584411018559,48.37417890302948,7.791916606079316,0.5122976308315786,54.2613567176807,23.35875841901032,22.379890594471135,Sandy Clay Loam
Nagaur,2021.0,1.0,Rabi,1.786471532024315,14.559523647787366,58.44528750204771,7.6532797209563554,0.5704724466215925,49.51865180053744,26.73553127124672,23.74570091727921,Loam
Pali,2021.0,1.0,Rabi,0.2230844436020246,16.691833530877197,51.85260565222257,7.53473171984385,0.6899628053639705,44.44318482030989,24.631426137433625,30.925512263366432,Loam
Sikar,2021.0,1.0,Rabi,8.863429474465878,13.723768876752311,63.69062509597189,7.534495397778516,0.786278701903854,45.343238576826465,26.97856082950532,27.678151897554653,Loam
Sirohi,2021.0,1.0,Rabi,0.0,17.17344564994766,53.39880966770795,7.396337654624223,1.0341951416617727,40.48985614248625,24.857467313399425,34.65255453304433,Loam
Tonk,2021.0,1.0,Rabi,8.24459401322728,15.506800595720437,63.18925809430419,7.416020895154145,0.7846190095895532,44.09877632225127,23.461647278027836,32.43956502073543,Loam
Bharatpur,2021.0,2.0,Rabi,0.7041349307926328,19.300673759724088,54.28782131205943,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Dhaulpur,2021.0,2.0,Rabi,0.42632629396856,19.851486535153214,52.27043944080636,7.65528902278178,0.8302959001556367,43.90062774367972,26.544169653207046,29.555065959184624,Loam
Kota,2021.0,2.0,Rabi,0.0,21.59587682882145,36.85518880435787,7.331463260312297,0.8223356041420042,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam
Baran,2021.0,2.0,Rabi,0.0,21.33817965231314,37.774029112231375,7.310498511980818,0.787739078833932,41.22755819494017,27.577050555745654,31.195185078293044,Clay Loam
Jaipur,2021.0,2.0,Rabi,0.0396082951431201,19.5265320863687,40.63672117911029,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam
Udaipur,2021.0,2.0,Rabi,0.0558492504568869,20.57527204409798,38.196103152563495,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam
Dausa,2021.0,2.0,Rabi,0.018351173297284,19.534466312382047,46.76842801442306,7.448940458503631,0.9096372867471324,50.66067520192447,23.252341799843208,26.087000638364948,Loam
Rajsamand,2021.0,2.0,Rabi,0.0,19.94912306195894,34.14151647154231,7.344695299699076,0.9639301728259164,36.934399265106606,33.273771319131875,29.791692305330336,Clay Loam
Sawai Madhopur,2021.0,2.0,Rabi,0.0,19.822237697415577,47.94087411744966,7.391336939566251,0.9090809910014799,46.36155834187105,25.40509783395536,28.23333160894245,Loam
Karauli,2021.0,2.0,Rabi,0.0280315981622839,19.68884958003546,49.138077218968334,7.323849110664443,0.9467935707025282,48.72619591043981,25.53555773220264,25.738271236433086,Loam
Ganganagar,2021.0,2.0,Rabi,0.3966025322842452,18.98121397159897,50.33383285049088,7.925312236058909,0.7232944493530641,53.05909954215294,24.470290062624482,22.47062579400709,Sandy Clay Loam
Hanumangarh,2021.0,2.0,Rabi,5.566597148826457,19.2538974766147,47.95336249710829,7.991436931660312,0.6603707508788489,58.40545363080692,22.86831899146728,18.726261266006375,Sandy Clay Loam
Ajmer,2021.0,2.0,Rabi,0.0051345050071545,20.674027514476425,31.489173725988508,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001222,43.9144725913661,Loam
Alwar,2021.0,2.0,Rabi,3.465339968057783,19.2743002844847,47.63370357379224,7.431135494000176,1.0529518117267935,45.67522844606345,24.966633472578202,29.358154120156932,Loam
Banswara,2021.0,2.0,Rabi,0.0,22.576921719971644,38.99279293242046,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Barmer,2021.0,2.0,Rabi,0.0251052808173699,22.60398768117365,26.35388486099044,7.8659423794938075,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bhilwara,2021.0,2.0,Rabi,0.0,20.83060813293704,32.376923255649665,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,2021.0,2.0,Rabi,0.4743634601301733,21.098449965380137,30.384896863078133,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,2021.0,2.0,Rabi,0.0,21.357761286180477,35.98877163458197,7.345372898579913,0.8640630543862735,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittaurgarh,2021.0,2.0,Rabi,0.0008803375392584164,21.013985066556444,36.56258466339976,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Churu,2021.0,2.0,Rabi,1.5356259780642096,20.10825944316124,36.34713820431995,7.931710739193281,0.6130627937848321,54.65475317517449,23.528332957980957,21.81687519782054,Sandy Clay Loam
Dungarpur,2021.0,2.0,Rabi,0.0,21.927540134712565,40.68214258261649,7.359425496874465,0.9761361123706438,39.79373254356574,24.83362293082961,35.37252946199261,Loam
Jaisalmer,2021.0,2.0,Rabi,0.1735115970461049,22.04042885474452,27.267822427512915,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam
Jalor,2021.0,2.0,Rabi,0.0,21.95678398278264,35.05513837046825,7.5693450681661485,0.7197348534596913,47.63071085699597,22.360459238758345,30.008805657174882,Loam
Jhalawar,2021.0,2.0,Rabi,0.0,21.723133970132384,36.44253606114465,7.324442733469555,0.7898446674541064,36.359408258216845,31.070649046282863,32.57011021594803,Clay Loam
Jhunjhunun,2021.0,2.0,Rabi,3.8422193500597497,19.085281141479957,42.19232363011298,7.564148238132579,0.8594941762681367,46.73249222258496,25.900183444383487,27.367264578193463,Loam
Jodhpur,2021.0,2.0,Rabi,0.0776713643569336,21.62360814922092,26.825211161833547,7.791916606079316,0.5122976308315786,54.2613567176807,23.35875841901032,22.379890594471135,Sandy Clay Loam
Nagaur,2021.0,2.0,Rabi,0.6001818150232852,20.464703852893383,31.52993929266351,7.6532797209563554,0.5704724466215925,49.51865180053744,26.73553127124672,23.74570091727921,Loam
Pali,2021.0,2.0,Rabi,0.0,21.084649125243747,33.23958566408509,7.53473171984385,0.6899628053639705,44.44318482030989,24.631426137433625,30.925512263366432,Loam
Sikar,2021.0,2.0,Rabi,0.3306092780282363,19.42780478415721,37.12755423054642,7.534495397778516,0.786278701903854,45.343238576826465,26.97856082950532,27.678151897554653,Loam
Sirohi,2021.0,2.0,Rabi,0.0,21.29170034653789,36.72032854905016,7.396337654624223,1.0341951416617727,40.48985614248625,24.857467313399425,34.65255453304433,Loam
Tonk,2021.0,2.0,Rabi,0.0,20.45692324364533,38.51046149084245,7.416020895154145,0.7846190095895532,44.09877632225127,23.461647278027836,32.43956502073543,Loam
Bharatpur,2021.0,3.0,Rabi,8.377314676177688,25.100950198657625,40.74784798225301,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Dhaulpur,2021.0,3.0,Rabi,8.172928496091323,25.75038122985644,38.38394978566319,7.65528902278178,0.8302959001556367,43.90062774367972,26.544169653207046,29.555065959184624,Loam
Kota,2021.0,3.0,Rabi,4.035868402007933,27.448052804571592,26.28937501432419,7.331463260312297,0.8223356041420042,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam
Baran,2021.0,3.0,Rabi,6.810244407182093,26.82614564879669,27.75222363891477,7.310498511980818,0.787739078833932,41.22755819494017,27.577050555745654,31.195185078293044,Clay Loam
Jaipur,2021.0,3.0,Rabi,4.331113256061042,25.238238294090237,31.10970898066832,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam
Udaipur,2021.0,3.0,Rabi,0.0438491089491302,26.01016757096359,27.662334187563197,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam
Dausa,2021.0,3.0,Rabi,5.488616230722445,25.331435042940463,34.85805700731526,7.448940458503631,0.9096372867471324,50.66067520192447,23.252341799843208,26.087000638364948,Loam
Rajsamand,2021.0,3.0,Rabi,0.0207292192497685,25.471617590693057,24.578070579592843,7.344695299699076,0.9639301728259164,36.934399265106606,33.273771319131875,29.791692305330336,Clay Loam
Sawai Madhopur,2021.0,3.0,Rabi,1.9877962814972236,25.76625150240452,33.57338934751763,7.391336939566251,0.9090809910014799,46.36155834187105,25.40509783395536,28.23333160894245,Loam
Karauli,2021.0,3.0,Rabi,2.671238134450617,25.59999867512701,35.336025920823914,7.323849110664443,0.9467935707025282,48.72619591043981,25.53555773220264,25.738271236433086,Loam
Ganganagar,2021.0,3.0,Rabi,8.996457666873026,24.612758160521302,40.87206005821127,7.925312236058909,0.7232944493530641,53.05909954215294,24.470290062624482,22.47062579400709,Sandy Clay Loam
Hanumangarh,2021.0,3.0,Rabi,8.310955100635656,25.02181988641925,37.88867695264376,7.991436931660312,0.6603707508788489,58.40545363080692,22.86831899146728,18.726261266006375,Sandy Clay Loam
Ajmer,2021.0,3.0,Rabi,0.8925041900872552,26.39964190358436,23.15076572390716,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001222,43.9144725913661,Loam
Alwar,2021.0,3.0,Rabi,7.365012386786606,24.833022738002125,37.511309624397065,7.431135494000176,1.0529518117267935,45.67522844606345,24.966633472578202,29.358154120156932,Loam
Banswara,2021.0,3.0,Rabi,0.0461559898970765,27.44247217106608,30.402623543414297,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Barmer,2021.0,3.0,Rabi,0.4826712422299413,28.158802461246157,21.787739523047392,7.8659423794938075,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bhilwara,2021.0,3.0,Rabi,0.274672660153132,26.560156600573865,23.207355504201377,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,2021.0,3.0,Rabi,3.12008675808306,26.83724214073961,26.405936887586645,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,2021.0,3.0,Rabi,1.1582797605338666,27.29300027830924,24.96686405889077,7.345372898579913,0.8640630543862735,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittaurgarh,2021.0,3.0,Rabi,0.4433203169036095,26.5077289679901,26.75572450938329,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Churu,2021.0,3.0,Rabi,4.783521618212705,26.266363214219247,28.264900722731173,7.931710739193281,0.6130627937848321,54.65475317517449,23.528332957980957,21.81687519782054,Sandy Clay Loam
Dungarpur,2021.0,3.0,Rabi,0.0410960154443472,27.18449999483709,30.568367559109717,7.359425496874465,0.9761361123706438,39.79373254356574,24.83362293082961,35.37252946199261,Loam
Jaisalmer,2021.0,3.0,Rabi,3.0008278815813423,27.562553138198854,24.54307263018474,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam
Jalor,2021.0,3.0,Rabi,0.0,27.45704293795824,25.86476329247825,7.5693450681661485,0.7197348534596913,47.63071085699597,22.360459238758345,30.008805657174882,Loam
Jhalawar,2021.0,3.0,Rabi,7.207897891621581,27.120271693117715,27.942922443328506,7.324442733469555,0.7898446674541064,36.359408258216845,31.070649046282863,32.57011021594803,Clay Loam
Jhunjhunun,2021.0,3.0,Rabi,5.033433029961302,25.084380356556267,32.62756208658713,7.564148238132579,0.8594941762681367,46.73249222258496,25.900183444383487,27.367264578193463,Loam
Jodhpur,2021.0,3.0,Rabi,0.1426715877218191,27.34600399458716,21.841990269377373,7.791916606079316,0.5122976308315786,54.2613567176807,23.35875841901032,22.379890594471135,Sandy Clay Loam
Nagaur,2021.0,3.0,Rabi,1.037187343278695,26.473745907575267,23.70777363491211,7.6532797209563554,0.5704724466215925,49.51865180053744,26.73553127124672,23.74570091727921,Loam
Pali,2021.0,3.0,Rabi,0.320697134821706,26.75640078196285,23.793455574823355,7.53473171984385,0.6899628053639705,44.44318482030989,24.631426137433625,30.925512263366432,Loam
Sikar,2021.0,3.0,Rabi,4.340142649179516,25.34009321101161,28.89239802761168,7.534495397778516,0.786278701903854,45.343238576826465,26.97856082950532,27.678151897554653,Loam
Sirohi,2021.0,3.0,Rabi,0.5226644129343556,26.641442966769013,26.673095114408916,7.396337654624223,1.0341951416617727,40.48985614248625,24.857467313399425,34.65255453304433,Loam
Tonk,2021.0,3.0,Rabi,0.667129537941658,26.340920781022003,27.34764107145931,7.416020895154145,0.7846190095895532,44.09877632225127,23.461647278027836,32.43956502073543,Loam
Bharatpur,2021.0,4.0,Zaid,1.5033686146721998,28.92346429252723,23.183051371877117,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Dhaulpur,2021.0,4.0,Zaid,0.6882367410873076,29.58521047451744,22.131371899860003,7.65528902278178,0.8302959001556367,43.90062774367972,26.544169653207046,29.555065959184624,Loam
Kota,2021.0,4.0,Zaid,0.3363497498611369,31.35837900685532,16.311801615833627,7.331463260312297,0.8223356041420042,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam
Baran,2021.0,4.0,Zaid,0.1201193545496299,30.938217361534782,16.936818148366758,7.310498511980818,0.787739078833932,41.22755819494017,27.577050555745654,31.195185078293044,Clay Loam
Jaipur,2021.0,4.0,Zaid,1.5734498007033473,28.715186762381983,19.42744841524143,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam
Udaipur,2021.0,4.0,Zaid,2.1822515395807724,29.542405019062176,20.992753169980936,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam
Dausa,2021.0,4.0,Zaid,1.70509836862175,29.0550162169958,20.67710400367589,7.448940458503631,0.9096372867471324,50.66067520192447,23.252341799843208,26.087000638364948,Loam
Rajsamand,2021.0,4.0,Zaid,1.014341512107745,28.99157510381085,18.0185214502766,7.344695299699076,0.9639301728259164,36.934399265106606,33.273771319131875,29.791692305330336,Clay Loam
Sawai Madhopur,2021.0,4.0,Zaid,0.2182567384447637,29.626381905022072,20.26714057659869,7.391336939566251,0.9090809910014799,46.36155834187105,25.40509783395536,28.23333160894245,Loam
Karauli,2021.0,4.0,Zaid,0.8358916927103458,29.335965867166312,21.280298952062235,7.323849110664443,0.9467935707025282,48.72619591043981,25.53555773220264,25.738271236433086,Loam
Ganganagar,2021.0,4.0,Zaid,6.061772015425582,27.777803408409277,27.88735289363313,7.925312236058909,0.7232944493530641,53.05909954215294,24.470290062624482,22.47062579400709,Sandy Clay Loam
Hanumangarh,2021.0,4.0,Zaid,8.280446135974072,28.05448350395208,25.11326522849955,7.991436931660312,0.6603707508788489,58.40545363080692,22.86831899146728,18.726261266006375,Sandy Clay Loam
Ajmer,2021.0,4.0,Zaid,0.8800352583176246,29.973500609017663,15.830372734244428,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001222,43.9144725913661,Loam
Alwar,2021.0,4.0,Zaid,2.5756100510911697,28.530724244584043,21.66844002104161,7.431135494000176,1.0529518117267935,45.67522844606345,24.966633472578202,29.358154120156932,Loam
Banswara,2021.0,4.0,Zaid,0.4384017057516073,30.673808576839445,24.128619229337865,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Barmer,2021.0,4.0,Zaid,0.9611347326695764,31.50104395549573,17.609674837145647,7.8659423794938075,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bhilwara,2021.0,4.0,Zaid,0.3719589381641052,30.296835208940447,15.811981881794454,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,2021.0,4.0,Zaid,6.919113702511599,29.985494363299832,18.16580803382029,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,2021.0,4.0,Zaid,0.3099662634278709,31.147216633028403,15.654656172966654,7.345372898579913,0.8640630543862735,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittaurgarh,2021.0,4.0,Zaid,0.8111018392322058,30.19681853381014,18.627391884067062,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Churu,2021.0,4.0,Zaid,4.545560045117401,29.221719460052167,18.81881386340226,7.931710739193281,0.6130627937848321,54.65475317517449,23.528332957980957,21.81687519782054,Sandy Clay Loam
Dungarpur,2021.0,4.0,Zaid,0.8939131978449476,30.851786466843897,23.379640159744174,7.359425496874465,0.9761361123706438,39.79373254356574,24.83362293082961,35.37252946199261,Loam
Jaisalmer,2021.0,4.0,Zaid,3.0064479491741207,30.95658314174826,17.756201419462116,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam
Jalor,2021.0,4.0,Zaid,0.7490391000290643,30.942518310800576,21.074356650273472,7.5693450681661485,0.7197348534596913,47.63071085699597,22.360459238758345,30.008805657174882,Loam
Jhalawar,2021.0,4.0,Zaid,0.0829234369672588,31.19283447088934,17.299211955985005,7.324442733469555,0.7898446674541064,36.359408258216845,31.070649046282863,32.57011021594803,Clay Loam
Jhunjhunun,2021.0,4.0,Zaid,3.1955772672809,28.09184821071681,21.17948580608556,7.564148238132579,0.8594941762681367,46.73249222258496,25.900183444383487,27.367264578193463,Loam
Jodhpur,2021.0,4.0,Zaid,3.9254565811321886,30.650369888105537,16.157594042788233,7.791916606079316,0.5122976308315786,54.2613567176807,23.35875841901032,22.379890594471135,Sandy Clay Loam
Nagaur,2021.0,4.0,Zaid,0.8725508398853222,29.69441351768114,16.57418608610384,7.6532797209563554,0.5704724466215925,49.51865180053744,26.73553127124672,23.74570091727921,Loam
Pali,2021.0,4.0,Zaid,0.9851036710116348,30.354046092452936,17.824586577479277,7.53473171984385,0.6899628053639705,44.44318482030989,24.631426137433625,30.925512263366432,Loam
Sikar,2021.0,4.0,Zaid,2.7647800814162187,28.343749959138364,19.034636093529947,7.534495397778516,0.786278701903854,45.343238576826465,26.97856082950532,27.678151897554653,Loam
Sirohi,2021.0,4.0,Zaid,1.0081401819753473,30.00777067666293,21.488226878518542,7.396337654624223,1.0341951416617727,40.48985614248625,24.857467313399425,34.65255453304433,Loam
Tonk,2021.0,4.0,Zaid,0.402852141229901,30.12206983004152,17.070554695441135,7.416020895154145,0.7846190095895532,44.09877632225127,23.461647278027836,32.43956502073543,Loam
Bharatpur,2021.0,5.0,Zaid,34.19342407582396,30.29326738423664,43.72680732136861,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Dhaulpur,2021.0,5.0,Zaid,28.693900051057515,30.449658942033807,44.190693535229336,7.65528902278178,0.8302959001556367,43.90062774367972,26.544169653207046,29.555065959184624,Loam
Kota,2021.0,5.0,Zaid,23.6646359590197,31.777164070399667,37.05142467008513,7.331463260312297,0.8223356041420042,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam
Baran,2021.0,5.0,Zaid,24.78119572780325,31.454460440173825,37.80314359777061,7.310498511980818,0.787739078833932,41.22755819494017,27.577050555745654,31.195185078293044,Clay Loam
Jaipur,2021.0,5.0,Zaid,24.768058738964804,30.03434636421209,38.76383413862641,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam
Udaipur,2021.0,5.0,Zaid,30.19519073268125,29.38619217275664,43.21206910217754,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam
Dausa,2021.0,5.0,Zaid,24.93769151505387,29.975000719958125,42.33299503314205,7.448940458503631,0.9096372867471324,50.66067520192447,23.252341799843208,26.087000638364948,Loam
Rajsamand,2021.0,5.0,Zaid,48.00620480768673,29.43136001626825,38.07349653411725,7.344695299699076,0.9639301728259164,36.934399265106606,33.273771319131875,29.791692305330336,Clay Loam
Sawai Madhopur,2021.0,5.0,Zaid,19.12754075952329,30.776060214139427,40.55494638249756,7.391336939566251,0.9090809910014799,46.36155834187105,25.40509783395536,28.23333160894245,Loam
Karauli,2021.0,5.0,Zaid,21.81554878032672,30.24345295682789,43.14242551038921,7.323849110664443,0.9467935707025282,48.72619591043981,25.53555773220264,25.738271236433086,Loam
Ganganagar,2021.0,5.0,Zaid,15.7416445111121,31.722944722526474,33.46778930249575,7.925312236058909,0.7232944493530641,53.05909954215294,24.470290062624482,22.47062579400709,Sandy Clay Loam
Hanumangarh,2021.0,5.0,Zaid,22.04123982497947,31.88633612027448,32.000541455832135,7.991436931660312,0.6603707508788489,58.40545363080692,22.86831899146728,18.726261266006375,Sandy Clay Loam
Ajmer,2021.0,5.0,Zaid,36.03982525710281,30.682762278198236,35.60481120808159,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001222,43.9144725913661,Loam
Alwar,2021.0,5.0,Zaid,41.715729715075895,29.873072662205704,42.02156679381851,7.431135494000176,1.0529518117267935,45.67522844606345,24.966633472578202,29.358154120156932,Loam
Banswara,2021.0,5.0,Zaid,6.852641783793979,30.800863263218787,43.71912356761784,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Barmer,2021.0,5.0,Zaid,14.464205237582474,32.66340442091809,36.93641891857368,7.8659423794938075,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bhilwara,2021.0,5.0,Zaid,40.81872209437435,30.77336269657472,35.475131090154726,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,2021.0,5.0,Zaid,23.319103459863644,33.4543540912532,27.556496185627356,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,2021.0,5.0,Zaid,26.708887260642115,31.685787235391143,35.988622139329365,7.345372898579913,0.8640630543862735,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittaurgarh,2021.0,5.0,Zaid,28.73627550537657,30.302184077747075,39.32267936287183,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Churu,2021.0,5.0,Zaid,23.51260900834004,32.18339272069404,30.45351008825004,7.931710739193281,0.6130627937848321,54.65475317517449,23.528332957980957,21.81687519782054,Sandy Clay Loam
Dungarpur,2021.0,5.0,Zaid,6.055217222011764,30.73383727296946,44.21205995522511,7.359425496874465,0.9761361123706438,39.79373254356574,24.83362293082961,35.37252946199261,Loam
Jaisalmer,2021.0,5.0,Zaid,12.167257364886586,34.009616835570434,29.63060181032063,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam
Jalor,2021.0,5.0,Zaid,12.464272926845982,31.59764804517609,41.66575757106987,7.5693450681661485,0.7197348534596913,47.63071085699597,22.360459238758345,30.008805657174882,Loam
